637,421,256.5381297,1.180582021
808,491,313.4644894,1.442555697
808,491,307.9353949,3.779125549
794,491,307.9495254,-2.361989595
757,487,307.4821147,-17.47061521
825,477,307.3691287,19.35696112
753,455,292.9608741,-18.44958299
827,443,292.8421547,20.24680981
757,515,326.9243923,-18.07222136
826,517,326.8377635,19.5765119
758,306,216.9006959,2.329140022
796,481,306.9159252,3.295748598
388,550,328.1741813,-215.6566307
947,549,352.5292141,90.0300826
777,482,293.4501834,-1.350450364
871,477,294.9191187,47.91711552
699,498,295.0647384,-47.01209091
771,311,201.8480358,-0.619263961
866,293,195.949372,48.44436665
680,315,196.097075,-47.84297447
802,602,349.2254145,-1.607126575
979,569,344.2501005,96.40483226
605,570,325.0966403,-98.07265932
