timestamp,u,v,x,y,z
2025-12-13T12:09:13,1228,474,58.25803829,-0.44684232,551.5840009
2025-12-13T12:09:26,1229,475,58.25803829,-0.44684232,551.5840009
2025-12-13T12:48:33,436,342,58.25968337,-0.089369305,551.5840009
2025-12-13T12:49:05,453,351,58.25968337,-0.089369305,551.5840009
2025-12-13T12:49:34,448,341,59.63069187,-0.091472407,551.4342355
2025-12-13T12:50:01,490,323,59.63069187,-0.091472407,551.4342355
2025-12-13T12:50:19,502,333,59.63069187,-0.091472407,551.4342355
2025-12-13T12:50:58,504,331,59.63069187,-0.091472407,551.4342355
2025-12-13T12:51:06,505,332,59.63069187,-0.091472407,551.4342355
2025-12-13T12:51:10,505,331,59.63069187,-0.091472407,551.4342355
2025-12-13T12:51:20,506,333,59.63069187,-0.091472407,551.4342355
2025-12-13T12:54:50,520,331,77.83800437,-0.119402097,549.1405768
2025-12-13T12:55:29,505,316,77.83800437,-0.119402097,549.1405768
2025-12-13T12:55:50,508,315,261.6698823,-0.802795663,-128.0519871
2025-12-13T12:56:08,510,315,114.1858256,-6.839357085,-115.2781585
2025-12-13T13:16:48,1068,67,137.9355457,-7.837265089,-122.750385
2025-12-13T13:21:13,1214,147,62.82558854,-3.763047049,551.4968229
2025-12-13T13:21:16,1144,117,62.82558854,-3.763047049,551.4968229
2025-12-13T13:21:17,1213,146,62.82558854,-3.763047049,551.4968229
2025-12-13T13:24:07,1113,113,62.82558854,-3.763047049,551.4968229
2025-12-13T13:24:15,1075,126,62.82558854,-3.763047049,551.4968229
2025-12-13T13:24:21,1061,135,161.9693422,-9.701433274,379.8065827
2025-12-13T13:24:37,907,578,150.1950527,-8.996191888,252.9461607
2025-12-13T13:24:43,907,588,361.3074868,-35.58568142,350.7305082
2025-12-13T13:24:48,907,583,462.8215488,-52.04475673,284.455529
2025-12-13T13:24:53,907,591,491.8230004,-56.07011925,80.94887067
2025-12-13T13:24:59,906,570,474.5499103,-32.8098999,-158.6735027
2025-12-13T13:25:07,917,591,455.4522901,-32.19157957,133.4764205
2025-12-13T13:25:13,915,583,-9.097449213,1.679377255,301.721136
2025-12-13T13:25:17,908,567,299.5442873,-419.8245046,181.285451
2025-12-13T13:25:26,1166,186,410.8189469,-103.5747759,-91.11448412
2025-12-13T13:49:34,925,572,242.3106307,-15.25981961,34.44529419
2025-12-13T13:49:36,923,556,242.3106307,-15.25981961,34.44529419
2025-12-13T13:49:37,921,548,242.3106307,-15.25981961,34.44529419
2025-12-13T13:50:50,913,530,242.3106307,-15.25981961,34.44529419
2025-12-13T13:51:04,912,527,242.3106307,-15.25981961,34.44529419
2025-12-13T13:51:12,913,513,196.3341668,-142.8292645,34.44529419
2025-12-13T13:51:19,913,514,113.7932677,-214.4723667,34.44529419
2025-12-13T13:51:55,930,536,80.74085166,228.9720916,34.44529419
2025-12-13T13:52:05,918,537,240.917311,141.4027574,40.75393262
2025-12-13T19:53:25,799,8,62.80917507,-0.096348143,551.0865922
2025-12-13T19:53:38,806,6,62.80917507,-0.096348143,551.0865922
2025-12-13T19:53:44,827,8,62.80917507,-0.096348143,551.0865922
2025-12-13T19:53:51,811,5,62.80917507,-0.096348143,551.0865922
2025-12-13T19:53:53,808,6,62.80917507,-0.096348143,551.0865922
2025-12-13T19:53:54,802,6,62.80917507,-0.096348143,551.0865922
2025-12-13T19:53:55,806,6,62.80917507,-0.096348143,551.0865922
2025-12-13T19:53:56,821,6,62.80917507,-0.096348143,551.0865922
2025-12-13T19:54:05,812,5,62.80917507,-0.096348143,551.0865922
2025-12-13T19:54:06,809,5,62.80917507,-0.096348143,551.0865922
2025-12-13T19:54:12,809,6,62.80917507,-0.096348143,551.0865922
2025-12-13T19:54:13,796,7,62.80917507,-0.096348143,551.0865922
2025-12-13T19:54:14,832,6,62.80917507,-0.096348143,551.0865922
2025-12-13T19:54:15,812,8,62.80917507,-0.096348143,551.0865922
2025-12-13T19:54:16,814,6,62.80917507,-0.096348143,551.0865922
2025-12-13T19:58:05,280,642,62.80917507,-0.096348143,551.0865922
2025-12-13T19:58:09,282,641,62.80917507,-0.096348143,551.0865922
2025-12-13T19:58:11,283,641,62.80917507,-0.096348143,551.0865922
2025-12-13T19:58:19,284,639,62.80917507,-0.096348143,551.0865922
2025-12-13T19:58:22,283,640,62.80917507,-0.096348143,551.0865922
2025-12-13T19:58:23,283,640,62.80917507,-0.096348143,551.0865922
2025-12-13T19:59:41,279,643,62.80924896,0.0,551.0865922
2025-12-13T19:59:46,280,641,62.80924896,0.0,551.0865922
2025-12-13T19:59:55,283,640,62.80924896,0.0,551.0865922
2025-12-13T19:59:58,281,641,62.80924896,0.0,551.0865922
2025-12-13T20:00:06,237,620,62.80924896,0.0,551.0865922
2025-12-13T20:00:14,236,624,62.80924896,0.0,551.0865922
2025-12-13T20:00:25,296,623,62.80924896,0.0,551.0865922
2025-12-13T20:00:27,301,617,62.80924896,0.0,551.0865922
2025-12-13T20:06:22,301,621,62.80924896,0.0,551.0865922
2025-12-13T20:10:39,448,586,62.80924896,0.0,551.0865922
2025-12-13T20:12:41,1071,101,62.80924896,0.0,551.0865922
2025-12-13T20:13:21,823,92,62.80924896,0.0,551.0865922
2025-12-13T20:13:43,832,95,62.80924896,0.0,551.0865922
2025-12-13T20:14:24,822,125,62.80924896,0.0,551.0865922
2025-12-13T20:14:54,585,114,62.80924896,0.0,551.0865922
2025-12-13T20:15:27,576,115,62.80924896,0.0,551.0865922
2025-12-13T20:15:53,866,149,62.80924896,0.0,551.0865922
2025-12-13T20:16:49,843,128,62.80924896,0.0,551.0865922
2025-12-13T20:19:36,588,172,62.80924896,0.0,551.0865922
2025-12-13T20:20:15,1036,94,62.80924896,0.0,551.0865922
2025-12-13T20:20:40,1057,66,62.80924896,0.0,551.0865922
2025-12-13T20:21:19,1026,50,62.80924896,0.0,551.0865922
2025-12-13T20:21:46,1062,58,62.80924896,0.0,551.0865922
2025-12-13T20:22:14,1026,57,62.80924896,0.0,551.0865922
2025-12-13T20:22:46,1042,44,62.80924896,0.0,551.0865922
2025-12-13T20:23:31,1076,51,62.80924896,0.0,551.0865922
2025-12-13T20:24:09,331,679,62.80924896,0.0,551.0865922
2025-12-13T20:24:51,1044,48,62.80924896,0.0,551.0865922
2025-12-13T20:41:59,719,473,62.809248960,0.000000000,551.086592200
2025-12-13T20:44:28,742,446,62.809248960,0.000000000,551.086592200
2025-12-13T20:45:34,702,442,62.809248960,0.000000000,551.086592200
2025-12-13T20:46:04,730,303,62.809175070,0.096348143,551.086592200
2025-12-13T20:46:18,731,232,62.809175070,0.096348143,551.086592200
2025-12-13T20:46:28,728,187,62.809175070,0.096348143,551.086592200
2025-12-13T20:46:41,622,605,62.809175070,0.096348143,551.086592200
2025-12-13T20:46:55,693,209,62.809175070,0.096348143,551.086592200
2025-12-13T20:47:12,417,681,62.809175070,0.096348143,551.086592200
2025-12-14T14:33:35,754,327,58.317407670,-0.268375243,551.580582900
2025-12-14T14:41:16,753,323,58.055276980,-0.089055749,551.608643900
2025-12-14T14:41:50,787,382,58.055276980,-0.089055749,551.608643900
2025-12-14T14:45:55,845,398,58.055276980,-0.089055749,551.608643900
2025-12-14T22:16:00,352,285,58.31795658,-0.089458695,551.5805829
2025-12-14T22:16:07,352,285,58.31795658,-0.089458695,551.5805829
2025-12-14T22:16:33,802,355,58.31795658,-0.089458695,551.5805829
2025-12-14T22:20:23,784,356,-16.36442364,0.477086616,555.157735
2025-12-14T22:20:41,157,321,-16.36442364,0.477086616,555.157735
2025-12-14T22:20:46,157,321,-16.36442364,0.477086616,555.157735
2025-12-14T22:20:49,157,321,-16.36442364,0.477086616,555.157735
2025-12-14T22:20:52,157,321,-16.36442364,0.477086616,555.157735
2025-12-14T22:20:58,168,311,-16.36442364,0.477086616,555.157735
2025-12-14T22:21:25,164,313,-16.36442364,0.477086616,555.157735
2025-12-14T22:21:27,164,314,-16.36442364,0.477086616,555.157735
2025-12-14T22:21:29,167,312,-16.36442364,0.477086616,555.157735
2025-12-14T22:21:30,162,313,-16.36442364,0.477086616,555.157735
2025-12-14T22:21:31,159,319,-16.36442364,0.477086616,555.157735
2025-12-14T22:21:32,163,322,-16.36442364,0.477086616,555.157735
2025-12-14T22:21:34,163,312,-16.36442364,0.477086616,555.157735
2025-12-14T22:21:40,165,324,-16.36442364,0.477086616,555.157735
2025-12-14T22:21:43,156,320,-16.36442364,0.477086616,555.157735
2025-12-14T22:21:45,160,384,-16.36442364,0.477086616,555.157735
2025-12-14T22:21:46,161,324,-16.36442364,0.477086616,555.157735
2025-12-14T22:21:47,153,352,-16.36442364,0.477086616,555.157735
